Tech node (nm), Capacity (bytes), Number of banks, Associativity, Output width (bits), Access time (ns), Random cycle time (ns), Dynamic search energy (nJ), Dynamic read energy (nJ), Dynamic write energy (nJ), Standby leakage per bank(mW), Area (mm2), Ndwl, Ndbl, Nspd, Ndcm, Ndsam_level_1, Ndsam_level_2, Data arrary area efficiency %, Ntwl, Ntbl, Ntspd, Ntcm, Ntsam_level_1, Ntsam_level_2, Tag arrary area efficiency %, 
32, 8, 16, 1, 64, 26.2424, 15.2975, N/A, 1.25277, 1.25279, 4.16153e+06, 132.845, 16, 512, 0.125, 1, 1, 1, 44.6939, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 8, 16, 1, 64, 28.5754, 17.1007, N/A, 1.27846, 1.27848, 682324, 132.373, 16, 512, 0.125, 1, 1, 1, 44.8532, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 8, 16, 1, 64, 24.7292, 14.0495, N/A, 1.24152, 1.24154, 2.14353e+07, 133.533, 16, 512, 0.125, 1, 1, 1, 44.4636, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 8, 16, 1, 64, 26.2424, 15.2975, N/A, 1.25277, 1.25279, 4.16153e+06, 132.845, 16, 512, 0.125, 1, 1, 1, 44.6939, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 8, 16, 1, 64, 28.5754, 17.1007, N/A, 1.27846, 1.27848, 682324, 132.373, 16, 512, 0.125, 1, 1, 1, 44.8532, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 8, 16, 1, 64, 24.7292, 14.0495, N/A, 1.24152, 1.24154, 2.14353e+07, 133.533, 16, 512, 0.125, 1, 1, 1, 44.4636, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 8, 16, 1, 64, 26.2424, 15.2975, N/A, 1.25277, 1.25279, 4.16153e+06, 132.845, 16, 512, 0.125, 1, 1, 1, 44.6939, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 8, 16, 1, 64, 28.5754, 17.1007, N/A, 1.27846, 1.27848, 682324, 132.373, 16, 512, 0.125, 1, 1, 1, 44.8532, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 8, 16, 1, 64, 24.7292, 14.0495, N/A, 1.24152, 1.24154, 2.14353e+07, 133.533, 16, 512, 0.125, 1, 1, 1, 44.4636, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 8, 16, 1, 64, 26.2424, 15.2975, N/A, 1.25277, 1.25279, 4.16153e+06, 132.845, 16, 512, 0.125, 1, 1, 1, 44.6939, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
