Tech node (nm), Capacity (bytes), Number of banks, Associativity, Output width (bits), Access time (ns), Random cycle time (ns), Dynamic search energy (nJ), Dynamic read energy (nJ), Dynamic write energy (nJ), Standby leakage per bank(mW), Area (mm2), Ndwl, Ndbl, Nspd, Ndcm, Ndsam_level_1, Ndsam_level_2, Data arrary area efficiency %, Ntwl, Ntbl, Ntspd, Ntcm, Ntsam_level_1, Ntsam_level_2, Tag arrary area efficiency %, 
45, 8192, 1, 8, 64, 0.221132, 0.250462, N/A, 0.0125615, 0.0104945, 0.00390015, 0.0671714, 2, 2, 0.125, 2, 8, 1, 65.3462, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
22, 16384, 1, 4, 64, 0.15414, 0.153767, N/A, 0.00597931, 0.00508969, 0.00308685, 0.0273365, 2, 2, 0.25, 4, 4, 1, 76.7559, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 16384, 1, 4, 64, 0.197702, 0.207443, N/A, 0.00966926, 0.00826274, 0.00429585, 0.0578979, 2, 2, 0.25, 4, 4, 1, 76.6737, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
45, 16384, 1, 4, 64, 0.267502, 0.286015, N/A, 0.0149558, 0.0128052, 0.00722368, 0.114513, 2, 2, 0.25, 4, 4, 1, 76.6621, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
22, 16384, 1, 8, 64, 0.155801, 0.153767, N/A, 0.00628305, 0.0051736, 0.00308679, 0.0275145, 2, 2, 0.125, 2, 8, 1, 76.2594, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 16384, 1, 8, 64, 0.200072, 0.207443, N/A, 0.0102217, 0.00842164, 0.00429576, 0.0582745, 2, 2, 0.125, 2, 8, 1, 76.1783, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
45, 16384, 1, 8, 64, 0.270877, 0.286015, N/A, 0.0158814, 0.0130825, 0.00720498, 0.115257, 2, 2, 0.125, 2, 8, 1, 76.1669, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
22, 2048, 1, 4, 64, 0.107863, 0.109161, N/A, 0.0021447, 0.00215416, 6.04837, 0.00528309, 2, 2, 0.125, 2, 4, 1, 49.6452, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 2048, 1, 4, 64, 0.149501, 0.156363, N/A, 0.00355294, 0.00350842, 1.88898, 0.0111564, 2, 2, 0.125, 2, 4, 1, 49.739, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
45, 2048, 1, 4, 64, 0.215698, 0.225102, N/A, 0.00558739, 0.00545946, 0.505271, 0.0220665, 2, 2, 0.125, 2, 4, 1, 49.7291, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
22, 2048, 1, 8, 64, 0.14337, 0.219819, N/A, 0.00380387, 0.00326774, 5.99007, 0.0073762, 2, 2, 0.125, 2, 8, 1, 35.5576, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 2048, 1, 8, 64, 0.184948, 0.300677, N/A, 0.00633498, 0.0053999, 1.86146, 0.0155796, 2, 2, 0.125, 2, 8, 1, 35.6174, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
45, 2048, 1, 8, 64, 0.254575, 0.410918, N/A, 0.00998645, 0.00846835, 0.497582, 0.0308222, 2, 2, 0.125, 2, 8, 1, 35.6026, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
